id_municipio,sigla_uf,ano,meta,metodologia
1100403,RO,2024,0.6735,herda_trajetoria_uf_v1
1100403,RO,2025,0.7279,herda_trajetoria_uf_v1
1100403,RO,2026,0.7823,herda_trajetoria_uf_v1
1100403,RO,2027,0.8368,herda_trajetoria_uf_v1
1100403,RO,2028,0.8912,herda_trajetoria_uf_v1
1100403,RO,2029,0.9456,herda_trajetoria_uf_v1
1100403,RO,2030,1.0,herda_trajetoria_uf_v1
1100452,RO,2024,0.6735,herda_trajetoria_uf_v1
1100452,RO,2025,0.7279,herda_trajetoria_uf_v1
1100452,RO,2026,0.7823,herda_trajetoria_uf_v1
1100452,RO,2027,0.8368,herda_trajetoria_uf_v1
1100452,RO,2028,0.8912,herda_trajetoria_uf_v1
1100452,RO,2029,0.9456,herda_trajetoria_uf_v1
1100452,RO,2030,1.0,herda_trajetoria_uf_v1
1100502,RO,2024,0.6735,herda_trajetoria_uf_v1
1100502,RO,2025,0.7279,herda_trajetoria_uf_v1
1100502,RO,2026,0.7823,herda_trajetoria_uf_v1
1100502,RO,2027,0.8368,herda_trajetoria_uf_v1
1100502,RO,2028,0.8912,herda_trajetoria_uf_v1
1100502,RO,2029,0.9456,herda_trajetoria_uf_v1
1100502,RO,2030,1.0,herda_trajetoria_uf_v1
1100601,RO,2024,0.6735,herda_trajetoria_uf_v1
1100601,RO,2025,0.7279,herda_trajetoria_uf_v1
1100601,RO,2026,0.7823,herda_trajetoria_uf_v1
1100601,RO,2027,0.8368,herda_trajetoria_uf_v1
1100601,RO,2028,0.8912,herda_trajetoria_uf_v1
1100601,RO,2029,0.9456,herda_trajetoria_uf_v1
1100601,RO,2030,1.0,herda_trajetoria_uf_v1
1100700,RO,2024,0.6735,herda_trajetoria_uf_v1
1100700,RO,2025,0.7279,herda_trajetoria_uf_v1
1100700,RO,2026,0.7823,herda_trajetoria_uf_v1
1100700,RO,2027,0.8368,herda_trajetoria_uf_v1
1100700,RO,2028,0.8912,herda_trajetoria_uf_v1
1100700,RO,2029,0.9456,herda_trajetoria_uf_v1
1100700,RO,2030,1.0,herda_trajetoria_uf_v1
1100809,RO,2024,0.6735,herda_trajetoria_uf_v1
1100809,RO,2025,0.7279,herda_trajetoria_uf_v1
1100809,RO,2026,0.7823,herda_trajetoria_uf_v1
1100809,RO,2027,0.8368,herda_trajetoria_uf_v1
1100809,RO,2028,0.8912,herda_trajetoria_uf_v1
1100809,RO,2029,0.9456,herda_trajetoria_uf_v1
1100809,RO,2030,1.0,herda_trajetoria_uf_v1
1100908,RO,2024,0.6735,herda_trajetoria_uf_v1
1100908,RO,2025,0.7279,herda_trajetoria_uf_v1
1100908,RO,2026,0.7823,herda_trajetoria_uf_v1
1100908,RO,2027,0.8368,herda_trajetoria_uf_v1
1100908,RO,2028,0.8912,herda_trajetoria_uf_v1
1100908,RO,2029,0.9456,herda_trajetoria_uf_v1
1100908,RO,2030,1.0,herda_trajetoria_uf_v1
1100924,RO,2024,0.6735,herda_trajetoria_uf_v1
1100924,RO,2025,0.7279,herda_trajetoria_uf_v1
1100924,RO,2026,0.7823,herda_trajetoria_uf_v1
1100924,RO,2027,0.8368,herda_trajetoria_uf_v1
1100924,RO,2028,0.8912,herda_trajetoria_uf_v1
1100924,RO,2029,0.9456,herda_trajetoria_uf_v1
1100924,RO,2030,1.0,herda_trajetoria_uf_v1
1100940,RO,2024,0.6735,herda_trajetoria_uf_v1
1100940,RO,2025,0.7279,herda_trajetoria_uf_v1
1100940,RO,2026,0.7823,herda_trajetoria_uf_v1
1100940,RO,2027,0.8368,herda_trajetoria_uf_v1
1100940,RO,2028,0.8912,herda_trajetoria_uf_v1
1100940,RO,2029,0.9456,herda_trajetoria_uf_v1
1100940,RO,2030,1.0,herda_trajetoria_uf_v1
1101005,RO,2024,0.6735,herda_trajetoria_uf_v1
1101005,RO,2025,0.7279,herda_trajetoria_uf_v1
1101005,RO,2026,0.7823,herda_trajetoria_uf_v1
1101005,RO,2027,0.8368,herda_trajetoria_uf_v1
1101005,RO,2028,0.8912,herda_trajetoria_uf_v1
1101005,RO,2029,0.9456,herda_trajetoria_uf_v1
1101005,RO,2030,1.0,herda_trajetoria_uf_v1
1101104,RO,2024,0.6735,herda_trajetoria_uf_v1
1101104,RO,2025,0.7279,herda_trajetoria_uf_v1
1101104,RO,2026,0.7823,herda_trajetoria_uf_v1
1101104,RO,2027,0.8368,herda_trajetoria_uf_v1
1101104,RO,2028,0.8912,herda_trajetoria_uf_v1
1101104,RO,2029,0.9456,herda_trajetoria_uf_v1
1101104,RO,2030,1.0,herda_trajetoria_uf_v1
1101203,RO,2024,0.6735,herda_trajetoria_uf_v1
1101203,RO,2025,0.7279,herda_trajetoria_uf_v1
1101203,RO,2026,0.7823,herda_trajetoria_uf_v1
1101203,RO,2027,0.8368,herda_trajetoria_uf_v1
1101203,RO,2028,0.8912,herda_trajetoria_uf_v1
1101203,RO,2029,0.9456,herda_trajetoria_uf_v1
1101203,RO,2030,1.0,herda_trajetoria_uf_v1
1101302,RO,2024,0.6735,herda_trajetoria_uf_v1
1101302,RO,2025,0.7279,herda_trajetoria_uf_v1
1101302,RO,2026,0.7823,herda_trajetoria_uf_v1
1101302,RO,2027,0.8368,herda_trajetoria_uf_v1
1101302,RO,2028,0.8912,herda_trajetoria_uf_v1
1101302,RO,2029,0.9456,herda_trajetoria_uf_v1
1101302,RO,2030,1.0,herda_trajetoria_uf_v1
1101401,RO,2024,0.6735,herda_trajetoria_uf_v1
1101401,RO,2025,0.7279,herda_trajetoria_uf_v1
1101401,RO,2026,0.7823,herda_trajetoria_uf_v1
1101401,RO,2027,0.8368,herda_trajetoria_uf_v1
1101401,RO,2028,0.8912,herda_trajetoria_uf_v1
1101401,RO,2029,0.9456,herda_trajetoria_uf_v1
1101401,RO,2030,1.0,herda_trajetoria_uf_v1
1101435,RO,2024,0.6735,herda_trajetoria_uf_v1
1101435,RO,2025,0.7279,herda_trajetoria_uf_v1
1101435,RO,2026,0.7823,herda_trajetoria_uf_v1
1101435,RO,2027,0.8368,herda_trajetoria_uf_v1
1101435,RO,2028,0.8912,herda_trajetoria_uf_v1
1101435,RO,2029,0.9456,herda_trajetoria_uf_v1
1101435,RO,2030,1.0,herda_trajetoria_uf_v1
1101450,RO,2024,0.6735,herda_trajetoria_uf_v1
1101450,RO,2025,0.7279,herda_trajetoria_uf_v1
1101450,RO,2026,0.7823,herda_trajetoria_uf_v1
1101450,RO,2027,0.8368,herda_trajetoria_uf_v1
1101450,RO,2028,0.8912,herda_trajetoria_uf_v1
1101450,RO,2029,0.9456,herda_trajetoria_uf_v1
1101450,RO,2030,1.0,herda_trajetoria_uf_v1
1101468,RO,2024,0.6735,herda_trajetoria_uf_v1
1101468,RO,2025,0.7279,herda_trajetoria_uf_v1
1101468,RO,2026,0.7823,herda_trajetoria_uf_v1
1101468,RO,2027,0.8368,herda_trajetoria_uf_v1
1101468,RO,2028,0.8912,herda_trajetoria_uf_v1
1101468,RO,2029,0.9456,herda_trajetoria_uf_v1
1101468,RO,2030,1.0,herda_trajetoria_uf_v1
1101476,RO,2024,0.6735,herda_trajetoria_uf_v1
1101476,RO,2025,0.7279,herda_trajetoria_uf_v1
1101476,RO,2026,0.7823,herda_trajetoria_uf_v1
1101476,RO,2027,0.8368,herda_trajetoria_uf_v1
1101476,RO,2028,0.8912,herda_trajetoria_uf_v1
1101476,RO,2029,0.9456,herda_trajetoria_uf_v1
1101476,RO,2030,1.0,herda_trajetoria_uf_v1
1101484,RO,2024,0.6735,herda_trajetoria_uf_v1
1101484,RO,2025,0.7279,herda_trajetoria_uf_v1
1101484,RO,2026,0.7823,herda_trajetoria_uf_v1
1101484,RO,2027,0.8368,herda_trajetoria_uf_v1
1101484,RO,2028,0.8912,herda_trajetoria_uf_v1
1101484,RO,2029,0.9456,herda_trajetoria_uf_v1
1101484,RO,2030,1.0,herda_trajetoria_uf_v1
1101492,RO,2024,0.6735,herda_trajetoria_uf_v1
1101492,RO,2025,0.7279,herda_trajetoria_uf_v1
1101492,RO,2026,0.7823,herda_trajetoria_uf_v1
1101492,RO,2027,0.8368,herda_trajetoria_uf_v1
1101492,RO,2028,0.8912,herda_trajetoria_uf_v1
1101492,RO,2029,0.9456,herda_trajetoria_uf_v1
1101492,RO,2030,1.0,herda_trajetoria_uf_v1
1101500,RO,2024,0.6735,herda_trajetoria_uf_v1
1101500,RO,2025,0.7279,herda_trajetoria_uf_v1
1101500,RO,2026,0.7823,herda_trajetoria_uf_v1
1101500,RO,2027,0.8368,herda_trajetoria_uf_v1
1101500,RO,2028,0.8912,herda_trajetoria_uf_v1
1101500,RO,2029,0.9456,herda_trajetoria_uf_v1
1101500,RO,2030,1.0,herda_trajetoria_uf_v1
1101559,RO,2024,0.6735,herda_trajetoria_uf_v1
1101559,RO,2025,0.7279,herda_trajetoria_uf_v1
1101559,RO,2026,0.7823,herda_trajetoria_uf_v1
